"Record ID","Event Name","Repeat Instrument","Repeat Instance","Data Access Group","Survey Identifier",Name,Email,Complete?,Name,"Text box",Text2,radio,"Notes box","Multiple Choice Dropdown Manual","Multiple Choice dropdown Auto","Radio Button Auto","Radio Button Manual","Checkbox (choice=Checkbox1)","Checkbox (choice=Checkbox2)","Checkbox (choice=Checkbox3)","Calc Test","Calculated Field",Signature,"File Upload",Required,Identifier,Identifier,"Edit Field","date YMD","date MDY","date DMY","time HH:MM:SS","time HH:M","time MM:SS","datetime YMD HMSS","datetime YMD HM","datetime MDY HMSS","datetime DMY HMSS","Integer ",Numbers,"Numbers 1 decimal place - period as decimal ","Numbers 1 decimal place - comma as decimal ","Letters only","MRN (10 Digits)","MRN (generic)","Social Security Number (US)","Phone (North America)","Phone (Australia)","Phone (UK)","Zipcode (US)","Postal code 5 (France)","Postal Code (Australia)","Postal Code (Canada)",Complete?,"Survey Timestamp",Name,Email,Complete?,"Survey Timestamp",Name,Email,DOB,"Signature ",Complete?
1,"Event 1 (Arm 1: Arm 1)",,,,,,email@test.edu,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Name ",email@test.edu,2023-04-14,,Complete
1,"Event Three (Arm 1: Arm 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Name ",email@test.edu,Incomplete,,"Name ",email@test.edu,2023-04-14,,Incomplete
1,"Event 1 (Arm 1: Arm 1)","Data Types",1,,,,,,,"text box",text2,,"note box",DDChoice5,DDChoice1,Choice1,Choice100,Checked,Unchecked,Unchecked,,,,,required,PHI,PHI2,"Edit Field",2023-07-31,2023-07-31,2023-07-31,14:49:07,14:49,14:49,"2023-07-31 14:49:07",,"2023-07-31 14:49:07","2023-07-31 14:49:07",1,1,2.2,"2,0",ABCxyz,1234567890,A123456789,123-12-1234,555-867-5309,"(02) 1234 5678"," +44 7911 123456",90210,69008,5000,"A0A 0A0",Incomplete,,,,,,,,,,
1,"Event 2 (Arm 1: Arm 1)",,1,,,"Name ",email@test.edu,Unverified,,,,,,,,,,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,,,,,,,,,,
1,"Event 2 (Arm 1: Arm 1)",,2,,,"Name ",email@test.edu,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,,,,,,,,,,
2,"Event 1 (Arm 1: Arm 1)",,,,,"Name ",email@test.edu,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
2,"Event 1 (Arm 1: Arm 1)","Data Types",1,,,,,,"Name ","text box",text2,,"note box",DDChoice5,DDChoice1,Choice1,Choice100,Checked,Unchecked,Unchecked,,,,,required,PHI,PHI2,"Edit Field",2023-04-14,,,20:20:41,,,"2023-04-14 20:20:37",,,,,,,,,,,,,,,,,,,Incomplete,,,,,,,,,,
2,"Event 1 (Arm 1: Arm 1)","Data Types",2,,,,,,"Name ","text box",text2,,"note box",DDChoice5,DDChoice1,Choice1,Choice100,Checked,Unchecked,Unchecked,,,,,required,PHI,PHI2,"Edit Field",2023-04-14,,,,,,"2023-04-14 20:23:18",,,,,,,,,,,,,,,,,,,Incomplete,,,,,,,,,,
3,"Event 1 (Arm 1: Arm 1)",,,,,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
3,"Event 1 (Arm 1: Arm 1)","Data Types",1,,,,,,,"text box",text2,,"note box",DDChoice5,DDChoice1,Choice1,Choice100,Checked,Unchecked,Unchecked,,,,,required,PHI,PHI2,"Edit Field",2023-04-14,,,,,,"2023-04-14 20:23:34",,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,
3,"Event 1 (Arm 1: Arm 1)","Data Types",2,,,,,,,"text box",text2,,"note box",DDChoice5,DDChoice1,Choice1,Choice100,Checked,Unchecked,Unchecked,,,,,required,PHI,PHI2,"Edit Field",2023-04-14,,,,,,"2023-04-14 20:23:40",,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,
4,"Event 1 (Arm 1: Arm 1)",,,,,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
4,"Event 1 (Arm 1: Arm 1)","Data Types",1,,,,,,,"text box",text2,,"note box",DDChoice5,DDChoice1,Choice1,Choice100,Checked,Unchecked,Unchecked,,,,,required,PHI,PHI2,"Edit Field",2023-04-14,,,,,,"2023-04-14 20:23:54",,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,
4,"Event 1 (Arm 1: Arm 1)","Data Types",2,,,,,,,"text box",text2,,"note box",DDChoice5,DDChoice1,Choice1,Choice100,Checked,Unchecked,Unchecked,,,,,required,PHI,PHI2,"Edit Field",2023-04-14,,,,,,"2023-04-14 20:24:00",,,,,,,,,,,,,,,,,,,Unverified,,,,,,,,,,
4,"Event 1 (Arm 1: Arm 1)","Data Types",3,,,,,,,"text box",text2,,"note box",DDChoice5,DDChoice1,Choice1,Choice100,Checked,Unchecked,Unchecked,,,,,required,PHI,PHI2,"Edit Field",2023-04-14,,,,,,"2023-04-14 20:24:06",,,,,,,,,,,,,,,,,,,Incomplete,,,,,,,,,,
